Date,Month,Climate,Block,Plot,Transect,Galium_aparine,Ribes_roezlii,Ranunculus californicus,Phacelia_douglasii?,Erodium_sp,Gilia_breccarium,Plagiobothrys_nothofulvus,TAPF,Calochortus_sp,Daucus_pusillus,Unk_B,Collinsia_parviflora,Softie?,Dichelostemma_capitatum,Brysimum_capitatum,Potentilla_gracillus,Acmispon_glaber,Small_yellow_star?,Georgia?,Clarkia speciosa?,Pink_leptosiphon?,Hemizonia_sp
5/4/21,May,Mesic,ME1,Partial,6,22,100,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME1,Partial,4,50,11,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME1,Partial,2,0,50,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME1,Full,3,110,20,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME1,Full,1,110,40,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME1,Control,3,0,20,7100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME1,Control,1,0,20,6000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME2,Control,6,0,50,2770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME2,Control,4,0,99,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME2,Control,1,0,195,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME2,Partial,5,0,100,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME2,Partial,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME2,Partial,2,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME2,Full,6,0,62,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME2,Full,4,0,85,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME3,Partial,6,10,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME3,Partial,3,10,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME3,Partial,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME3,Full,5,230,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME3,Full,3,400,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME3,Full,1,50,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME3,Control,6,50,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME3,Control,4,0,83,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/4/21,May,Mesic,ME3,Control,1,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/24/21,May,Intermediate,IN1,Total,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/24/21,May,Intermediate,IN1,Total,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/24/21,May,Intermediate,IN1,Partial,5,0,0,0,0,7,4,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/24/21,May,Intermediate,IN1,Partial,1,0,0,0,27,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/24/21,May,Intermediate,IN1,Open,6,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/25/21,May,Arid,AR3,Total,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5/25/21,May,Arid,AR3,Total,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/25/21,May,Arid,AR3,Open,5,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
5/25/21,May,Arid,AR3,Open,1,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
5/26/21,May,Mesic,ME1,Partial,6,55,0,0,0,0,0,0,0,0,0,3430,70,86,0,0,0,0,0,0,0,0,0
5/26/21,May,Mesic,ME1,Partial,2,0,0,112,0,0,0,0,0,0,0,350,0,15,71,0,0,0,0,0,0,0,0
5/26/21,May,Mesic,ME1,Full,4,65,0,0,0,0,0,0,0,0,0,0,0,0,309,12,4,0,0,0,0,0,0
5/26/21,May,Mesic,ME1,Full,2,10,0,17,0,0,0,0,0,0,0,0,0,5,172,119,0,0,0,0,0,0,0
5/26/21,May,Mesic,ME1,Open,5,0,0,638,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0
5/26/21,May,Mesic,ME1,Open,3,0,0,275,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0
5/26/21,May,Mesic,ME1,Open,1,0,0,465,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0
5/26/21,May,Mesic,ME2,Open,6,0,0,265,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5/26/21,May,Mesic,ME2,Open,3,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/26/21,May,Mesic,ME2,Partial,5,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30,0,0,0,0,0,0,0
5/26/21,May,Mesic,ME2,Partial,3,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
5/26/21,May,Mesic,ME2,Partial,1,0,0,12,0,0,0,0,0,0,0,0,0,200,11,21,0,108,0,0,0,0,0
5/26/21,May,Mesic,ME2,Total,6,0,0,1,0,0,0,0,0,0,0,0,280,0,26,203,0,100,19,7,0,0,0
5/26/21,May,Mesic,ME2,Total,2,0,0,241,0,0,0,0,0,0,0,0,20,70,3,12,0,0,0,0,0,0,0
5/26/21,May,Mesic,ME3,Partial,6,80,0,5,0,0,0,0,0,0,0,0,0,25,4,168,0,0,0,0,0,0,0
5/26/21,May,Mesic,ME3,Total,4,250,0,25,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0
5/26/21,May,Mesic,ME3,Total,3,300,0,15,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,5,0,0
5/26/21,May,Mesic,ME3,Open,6,50,0,20,0,0,0,0,0,0,0,0,0,280,150,0,0,0,0,0,0,0,0
5/26/21,May,Mesic,ME3,Open,4,0,0,0,0,0,0,0,0,0,0,0,0,50,110,0,0,0,0,0,0,5,0
5/26/21,May,Mesic,ME3,Open,2,0,0,45,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0
5/26/21,May,Arid,AR2,Total,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
5/26/21,May,Arid,AR2,Total,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5/26/21,May,Arid,AR2,Open,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5/26/21,May,Arid,AR2,Open,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5/27/21,May,Arid,AR1,Partial,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/27/21,May,Arid,AR1,Total,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/27/21,May,Arid,AR1,Total,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/27/21,May,Arid,AR1,Open,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/27/21,May,Arid,AR1,Open,5,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0