DATE,MONTH,SITE,BLOCK,TREATMENT,PLOTID,TRANSECT,Erodium_sp,Claytonia_perfoliata,Calandrinia_menziesii,Sisymbrium_sp,Nemophila_menziesii,Plagiobothrys_nothofulvus,Triteleia_ixioides,Triteleia_taxa,Galium_aparine,Dichelostemma_capitatum,Stellaria_media,Phacelia_douglasii?,Gilia_tricolor,Capsella_bursa-pastoris,Scrophurlaria_californica,"
Acmispon_wrangelianus",Lupinus_bicolor,Lupinus_bicolor (white),Fireweed?,Ribes_roezlii,Ranunculus californicus,Calochortus_sp,Daucus_pusillus,Chokeberry/Unk A,Lanicera_interrupta,Brysimum_capitatum,Deerweed,Leptosiphon_minimus,White Lotus,Penstemon_laetus,Purple Star,Calystegia_malacophylla,Gayophytum diffusum,Madia_sp,unk_8,Gilia_breccarium,Collinsia_parviflora
3/18/21,March,Arid,AR1,Partial,AR1P,2,2,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR1,Partial,AR1P,4,1,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR1,Partial,AR1P,6,18,74,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR1,Total,AR1T,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR1,Total,AR1T,4,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR1,Total,AR1T,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR1,Open,AR1O,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR1,Open,AR1O,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR1,Open,AR1O,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR2,Total,AR2T,2,1,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR2,Total,AR2T,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR2,Total,AR2T,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR2,Partial,AR2P,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR2,Partial,AR2P,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR2,Partial,AR2P,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR2,Open,AR2O,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR2,Open,AR2O,5,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR3,Partial,AR3P,2,11,,23,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR3,Partial,AR3P,4,12,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR3,Partial,AR3P,6,14,,1,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR3,Open,AR3O,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR3,Open,AR3O,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR3,Open,AR3O,6,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Total,IN1T,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Total,IN1T,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Total,IN1T,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Partial,IN1P,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Partial,IN1P,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Partial,IN1P,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Open,IN1O,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Open,IN1O,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Open,IN1O,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Total,IN2T,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Total,IN2T,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Total,IN2T,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Partial,IN2P,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Partial,IN2P,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Partial,IN2P,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Open,IN2O,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Open,IN2O,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Open,IN2O,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN3,Total,IN3T,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN3,Total,IN3T,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN3,Total,IN3T,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN3,Partial,IN3P,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN3,Partial,IN3P,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN3,Partial,IN3P,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN3,Open,IN3O,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN3,Open,IN3O,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN3,Open,IN3O,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/21,April,Arid,AR1,Partial,AR1P,2,340,226,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/21,April,Arid,AR1,Partial,AR1P,5,251,480,4,56,5,23,1,,80,,,,,18,,,,,,,,,,,,,,,,,,,,,,,
4/5/21,April,Arid,AR1,Total,AR1T,2,4,57,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/21,April,Arid,AR1,Total,AR1T,5,21,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/21,April,Arid,AR1,Open,AR1O,2,240,,152,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/5/21,April,Arid,AR1,Open,AR1O,5,256,,83,4,,131,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
4/7/21,April,Arid,AR2,Open,AR2O,2,3100,,,,,49,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/21,April,Arid,AR2,Open,AR2O,4,3200,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/21,April,Arid,AR2,Open,AR2O,6,5500,1,,1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/21,April,Arid,AR2,Total,AR2T,2,520,3,,5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/21,April,Arid,AR2,Total,AR2T,5,1010,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/21,April,Arid,AR2,Partial,AR2P,1,213,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/21,April,Arid,AR2,Partial,AR2P,4,230,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,
4/7/21,April,Arid,AR3,Total,AR3T,2,70,,21,,,213,1,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/21,April,Arid,AR3,Total,AR3T,4,26,,2,,,74,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
4/7/21,April,Arid,AR3,Total,AR3T,6,22,,1,,,148,,,,,,4,18,,,,,,,,,,,,,,,,,,,,,,,,
4/7/21,April,Arid,AR3,Partial,AR3P,3,17,,49,,,788,6,,,,,30,26,,,6,,,,,,,,,,,,,,,,,,,,,
4/7/21,April,Arid,AR3,Partial,AR3P,6,39,,12,,,257,12,,,,,2,10,,,3,3,,,,,,,,,,,,,,,,,,,,
4/7/21,April,Arid,AR3,Open,AR3O,3,53,,6,,,12,,,,,,,1,,,13,,,,,,,,,,,,,,,,,,,,,
4/7/21,April,Arid,AR3,Open,AR3O,6,47,,9,,,25,,,,,,32,1,4,,10,,,,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN1,Partial,IN1P,2,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN1,Partial,IN1P,5,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN1,Total,IN1T,3,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN1,Total,IN1T,6,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN1,Open,IN1O,3,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN1,Open,IN1O,6,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN2,Total,IN2T,3,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN2,Total,IN2T,6,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN2,Partial,IN2P,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN2,Partial,IN2P,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN2,Open,IN2O,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN2,Open,IN2O,5,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN3,Partial,IN3P,3,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN3,Partial,IN3P,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN3,Total,IN3T,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN3,Total,IN3T,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN3,Open,IN3O,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
4/8/21,April,Intermediate,IN3,Open,IN3O,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME1,Partial,ME1P,2,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME1,Partial,ME1P,5,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME1,Total,ME1T,3,,,,,,,,,,,,,,,,,,,,25,14,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME1,Total,ME1T,5,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME1,Open,ME1O,3,,,,,,,,,,,,,,,,,,,,,548,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME1,Open,ME1O,4,,,,,,,,,,,,,,,,,,,,6,81,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME2,Partial,ME2P,5,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME2,Partial,ME2P,2,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME2,Total,ME2T,2,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME2,Total,ME2T,4,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME2,Open,ME2O,3,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME2,Open,ME2O,6,,,,,,,,,,,,,,,,,,,,10,46,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME3,Partial,ME3P,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME3,Partial,ME3P,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME3,Total,ME3T,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME3,Total,ME3T,1,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME3,Open,ME3O,3,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,
4/9/2021,April,Mesic,ME3,Open,ME3O,6,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,
4/13/21,April,Mesic,ME1,Partial,ME1P,3,,,,,,,,,,,,,,,,,,,,315,,,,,,,,,,,,,,,,,
4/13/21,April,Mesic,ME1,Partial,ME1P,5,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,
4/13/21,April,Mesic,ME1,Total,ME1T,2,,,,,,,,,,,,,,,,,,,,715,,,,,,,,,,,,,,,,,
4/13/21,April,Mesic,ME1,Total,ME1T,1,,,,,,,,,,,,,,,,,,,,106,84,,,,,,,,,,,,,,,,
4/13/21,April,Mesic,ME1,Open,ME1O,6,,,,,,,,,,,,,,,,,,,,40,664,,,,,,,,,,,,,,,,
4/13/21,April,Mesic,ME1,Open,ME1O,2,,,,,,,,,,,,,,,,,,,,95,1090,,,,,,,,,,,,,,,,
4/13/21,April,Mesic,ME2,Partial,ME2P,4,,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,
4/13/21,April,Mesic,ME2,Partial,ME2P,1,,,,,,,,,,,,,,,,,,,,520,,,,,,,,,,,,,,,,,
4/13/21,April,Mesic,ME2,Total,ME2T,6,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,
4/13/21,April,Mesic,ME2,Total,ME2T,1,,,,,,,,,,,,,,,,,,,,280,16,,,,,,,,,,,,,,,,
4/13/21,April,Mesic,ME2,Open,ME2O,5,,,,,,,,,,,,,,,,,,,,175,158,,,,,,,,,,,,,,,,
4/13/21,April,Mesic,ME2,Open,ME2O,2,,,,,,,,,,,,,,,,,,,,85,39,,,,,,,,,,,,,,,,
4/13/21,April,Mesic,ME3,Partial,ME3P,4,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,
4/13/21,April,Mesic,ME3,Total,ME3T,3,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,
4/13/21,April,Mesic,ME3,Open,ME3O,6,,,,,,,,,,,,,,,,,,,,76,1,,,,,,,,,,,,,,,,
4/13/21,April,Mesic,ME3,Open,ME3O,3,,,,,,,,,,,,,,,,,,,,72,39,,,,,,,,,,,,,,,,
4/13/21,April,Intermediate,IN1,Partial,IN1P,5,81,1,,,26,3,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,,16,20,
4/13/21,April,Intermediate,IN1,Partial,IN1P,2,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/21,April,Intermediate,IN1,Total,IN1T,2,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/21,April,Intermediate,IN1,Total,IN1T,5,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/21,April,Intermediate,IN1,Open,IN1O,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/21,April,Intermediate,IN1,Open,IN1O,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/21,April,Intermediate,IN2,Partial,IN2P,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/21,April,Intermediate,IN2,Partial,IN2P,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/21,April,Intermediate,IN2,Total,IN2T,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/21,April,Intermediate,IN2,Total,IN2T,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/21,April,Intermediate,IN2,Open,IN2O,6,3,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,
4/13/21,April,Intermediate,IN2,Open,IN2O,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/21,April,Intermediate,IN3,Partial,IN3P,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/21,April,Intermediate,IN3,Partial,IN3P,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/21,April,Intermediate,IN3,Total,IN3T,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/21,April,Intermediate,IN3,Total,IN3T,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/21,April,Intermediate,IN3,Open,IN3O,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
4/13/21,April,Intermediate,IN3,Open,IN3O,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR1,Partial,AR1P,2,49,,,177,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR1,Partial,AR1P,4,208,,,9,,38,125,,,,,,,,,,32,26,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR1,Partial,AR1P,6,122,,,40,,,299,,,,,,,,,,,287,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR1,Open,AR1O,2,150,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR1,Open,AR1O,5,155,,,21,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR2,Total,AR2T,1,5,,,31,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR2,Total,AR2T,4,5,,,28,,55,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR2,Total,AR2T,6,8,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR2,Partial,AR2P,1,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR2,Partial,AR2P,4,,,,2,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR2,Partial,AR2P,6,6,,,75,,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR2,Open,AR2O,1,20,,,19,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR2,Open,AR2O,3,1,,,2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR2,Open,AR2O,5,26,,,3,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR3,Total,AR3T,1,8,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR3,Total,AR3T,3,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR3,Total,AR3T,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR3,Open,AR3O,1,2,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR3,Open,AR3O,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/2021,May,Arid,AR3,Open,AR3O,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/21,June,Mesic,ME3,Partial,ME3P,6,,,,,,,,,,,,,,,,,,,,,,,,215,,14,,,,,,,,,,,
6/16/21,June,Mesic,ME3,Partial,ME3P,2,,,,,,,,,,,,,,,,,,,,,,,,33,,6,,,,,,,,,,,
6/16/21,June,Mesic,ME3,Total,ME3T,4,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,
6/16/21,June,Mesic,ME3,Total,ME3T,3,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,
6/16/21,June,Mesic,ME3,Open,ME3O,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/21,June,Mesic,ME3,Open,ME3O,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/21,June,Mesic,ME2,Partial,ME2P,4,,,,,,,,,,,,,,,,,,,,,,,,100,,5,45,1,10,,,,,,,,
